,city,lat,lng,max temp,humidity,cloudiness,wind_speed,country,date
256,Mar del Plata,-38.0,-57.56,44.6,48,0,13.87,AR,1597545867
257,Santiago,-33.46,-70.65,46.0,48,0,4.7,CL,1597545832
258,Saint George,37.1,-113.58,107.6,6,1,5.82,US,1597546107
259,Hammond,41.58,-87.5,75.99,78,75,4.7,US,1597545980
260,Quatre Cocos,-20.21,57.76,72.0,73,40,11.41,MU,1597546108
261,Posse,-14.09,-46.37,70.23,44,0,4.92,BR,1597546108
262,Coyhaique,-45.58,-72.07,46.4,65,90,11.41,CL,1597546108
263,Lebedinyy,58.52,125.52,53.8,55,100,12.57,RU,1597546108
264,Filingué,14.35,3.32,80.47,71,37,11.86,NE,1597546108
265,São Félix do Xingu,-6.64,-51.99,80.98,38,97,1.12,BR,1597546108
266,Baruun-Urt,46.68,113.28,70.77,60,85,5.79,MN,1597546109
267,Vila Velha,-20.33,-40.29,73.4,83,20,4.7,BR,1597546109
268,Shenandoah,30.4,-91.0,82.0,88,34,1.48,US,1597546109
269,Tiksi,71.69,128.87,43.21,78,92,3.56,RU,1597546109
270,Labuhan,-6.88,112.21,85.15,66,16,5.55,ID,1597546109
271,Cayhagan,9.67,122.43,85.53,69,5,8.25,PH,1597546109
272,Ust-Maya,60.42,134.53,62.96,33,100,6.26,RU,1597546110
273,Anking,30.51,117.05,94.87,52,0,7.96,CN,1597546110
274,Winnemucca,40.97,-117.74,93.2,14,1,3.36,US,1597546110
275,Fasa,28.94,53.65,75.2,44,24,1.28,IR,1597546110
276,Rawson,-43.3,-65.1,46.96,53,85,30.6,AR,1597546110
277,Nanortalik,60.14,-45.24,42.64,76,74,9.82,GL,1597546110
278,Zhigansk,66.77,123.37,51.51,53,0,21.41,RU,1597546111
279,Coahuayana Viejo,18.73,-103.68,79.72,82,20,2.39,MX,1597546111
280,Karratha,-20.74,116.85,76.75,55,11,9.06,AU,1597545921
281,Pareora,-44.49,171.21,51.01,64,2,5.99,NZ,1597546111
282,Bauchi,10.5,10.0,72.81,80,100,6.2,NG,1597546111
283,Naryan-Mar,67.67,53.09,51.53,64,100,18.66,RU,1597546111
284,Porto Recanati,43.44,13.66,73.99,94,0,3.36,IT,1597546112
285,Basco,20.45,121.97,84.07,81,100,12.62,PH,1597546112
